observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,relevo_local,relevo_elevacao,relevo_declividade,relevo_posicao
#metadado>,Data da observação,Sistema de referência de coordenadas,Longitude,Latitude,Precisão das coordenadas,Fonte das coordenadas,País,Unidade federativa,Município,Tipo de amostragem,Quantidade de subamostras,Área amostral,Classificação do solo,Classe de relevo local,Elevação acima do nível do mar,Declividade,Posição na paisagem
#metadado>,-,-,m,m,m,-,-,-,-,-,-,m^2,-,-,m,%,-
L80,xx-xx-2011,EPSG:29192,501.332,7.404.352,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,448,-,topo
L81,xx-xx-2011,EPSG:29192,503.621,7.408.366,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,416,15,terço médio
L82,xx-xx-2011,EPSG:29192,469.216,7.409.055,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico nitossólico, textura muito argilosa, A moderado",ondulado,631,13,terço inferior
L83,xx-xx-2011,EPSG:29192,470.495,7.409.184,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",forte ondulado,593,26,terço inferior
L84,xx-xx-2011,EPSG:29192,471.956,7.409.374,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,624,6,terço superior
L85,xx-xx-2011,EPSG:29192,472.032,7.407.659,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",plano,667,-,topo
L86,xx-xx-2011,EPSG:29192,470.994,7.407.346,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,617,20,terço inferior
L87,xx-xx-2011,EPSG:29192,475.428,7.406.483,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico típico, textura argilosa, A moderado",forte ondulado,537,41,-
L88,xx-xx-2011,EPSG:29192,475.474,7.407.682,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",suave ondulado,619,4,terço superior
L89,xx-xx-2011,EPSG:29192,476.538,7.410.744,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,546,15,terço médio
