observacao_id,camada_id,camada_nome,amostra_id,profund_sup,profund_inf,areia_xxx_xxx,silte_xxx_xxx,argila_xxx_xxx,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,ph_cacl2_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
#metadado>,Identificação da camada,Símbolo do horizonte,Código da amostra,Profundidade superior,Profundidade inferior,Areia total,Silte total,Argila total,P,Carbono orgânico,pH H2O,pH CaCl2,Al,H+Al,Ca,Mg,K,Soma de bases,Capacidade de troca de cátions ,Saturação por bases,Saturação por Al
#metadado>,-,-,-,cm,cm,dag/kg,dag/kg,dag/kg,mg/dm^3,g/dm^3,-,-,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,%,%
L6,1,Ap,1,0,15,-,-,-,"5,1","15,90","5,1",-,0,"5,34","7,12","2,34","0,27","9,73","15,07",65,0
L6,2,Bw,1,60,80,-,-,-,"4,1","5,50","5,5",-,0,"3,68","5,4","1,6","0,05","7,05","10,73",66,0
L63,1,Ap,1,0,20,"28,0","24,0","48,0","3,1","18,00","4,9",-,"0,02","6,2","4,3","2,09","0,07","6,46","12,66",51,0
L63,2,Bt,1,40,60,"20,0","19,0","61,0","3,7","10,80","4,6",-,"0,25","6,68","5,7","1,39","0,14","7,23","13,91",52,3
L65,1,Ap,1,0,20,"10,0","17,0","73,0","32,4","20,00","4,2",-,"1,26","10,45","3,27","0,65","0,3","4,22","14,67",29,23
L65,2,Bw,1,60,80,"9,0","15,0","76,0",5,"15,70","4,0",-,"2,54","13,06","0,65","0,2","0,1","0,95","14,01",7,73
L7,1,Ap,1,0,20,-,-,-,12,"31,90","5,4",-,0,"5,76","15,97","4,81","1,05","21,83","27,59",79,0
L71,1,Ap,1,0,20,"11,0","18,0","71,0","7,6","19,60","4,4",-,"0,31","7,75","3,75","1,19","0,56","5,5","13,25",42,5
L71,2,Bw,1,60,80,"6,0","12,0","82,0","5,5","8,30","5,0",-,0,"5,34","3,6","1,11","0,05","4,76","10,10",47,0
L72,1,Ap,1,0,20,"17,0","23,0","60,0","38,6","24,30","4,7",-,"0,08","7,75","7,25","1,6","0,35","9,2","16,95",54,1
L72,2,Bw,1,60,80,"8,0","11,0","81,0","14,5","7,50","4,8",-,"0,06","5,76","4,72","1,19","0,05","5,96","11,72",51,1
L73,1,Ap,1,0,20,"15,0","22,0","63,0",7,"19,10","5,2",-,0,"5,76","8,45","1,97","0,98","11,4","17,16",66,0
L73,2,Bw,1,60,80,"11,0","17,0","72,0","7,5","9,70","5,5",-,0,"4,27","7,95","1,89","0,18","10,02","14,29",70,0
L74,1,Ap,1,0,20,"15,0","17,0","68,0","10,9","24,50","4,6",-,"0,19","8,35","5,17","2,05","0,25","7,47","15,82",47,2
L74,2,Bw,1,60,80,"11,0","13,0","76,0","4,6","8,50","4,1",-,"1,87","10,45","2,2","0,49","0,05","2,74","13,19",21,41
L75,1,Ap,1,0,20,"41,0","29,0","30,0","110,4","5,30","5,7",-,0,"4,6","21,55","3,66","1,15","26,36","30,96",85,0
L76,1,Ap,1,0,20,"26,0","18,0","56,0",17,"15,50","5,1",-,0,"5,76","6,42","1,68","0,98","9,08","14,84",61,0
L76,2,Bt,1,40,60,"18,0","13,0","69,0","20,9","7,50","5,6",-,0,"4,27","7,05","0,82","0,53","8,4","12,67",66,0
L77,1,Ap,1,0,20,"8,0","23,0","69,0",33,"19,70","5,7",-,0,"4,27","9,35","2,38","1,15","12,88","17,15",75,0
L77,2,Bw,1,60,80,"6,0","14,0","80,0","10,3","6,80","5,3",-,0,"4,6","4,2","2,01","0,27","6,48","11,08",58,0
L78,1,Ap,1,0,20,"36,0","29,0","35,0","22,3","24,90","5,5",-,0,"4,96","11,65","2,83","0,71","15,19","20,15",75,0
L79,1,Ap,1,0,20,"28,0","30,0","42,0","42,2","26,80","5,9",-,0,"3,97","15,92","6,66","1,15","23,73","27,70",86,0
L79,2,Bt,1,40,60,"33,0","18,0","49,0","4,6","15,00","5,8",-,0,"4,27","13,5","4,81","0,18","18,49","22,76",81,0
L8,1,Ap,1,0,15,-,-,-,"12,3","12,60","4,5",-,"0,41","7,75","4,55","1,93","0,61","7,09","14,84",48,5
L8,2,Bw,1,50,70,-,-,-,"7,1","5,90","4,5",-,"1,05","7,2","3,1","1,48","0,07","4,65","11,85",39,18
L80,1,Ap,1,0,20,"15,0","20,0","65,0","59,7","22,10","6,5",-,0,"2,94","9,67","5,1","0,98","15,75","18,69",84,0
L80,2,Bw,1,60,80,"11,0","13,0","76,0","8,8","5,00","6,2",-,0,"3,17","5,42","1,89","0,33","7,64","10,81",71,0
L81,1,Ap,1,0,20,"27,0","24,0","49,0","47,1","22,30","6,4",-,0,"2,94","13,87","2,75","0,59","17,21","20,15",85,0
L81,2,Bt,1,40,60,"15,0","12,0","73,0","8,8","8,30","6,1",-,0,"3,42","7,25","2,34","0,2","9,79","13,21",74,0
L82,1,Ap,1,0,20,"14,0","17,0","69,0","16,5","24,30","4,5",-,"0,37","8,35","4,77","1,68","1,05","7,5","15,85",47,5
L82,2,Bw,1,50,70,"9,0","11,0","80,0","1,6","8,30","5,4",-,0,"4,27","4,52","1,35","0,12","5,99","10,26",58,0
L85,1,Ap,1,0,20,"15,0","15,0","70,0","8,6","16,30","5,4",-,0,"4,6","5,3","1,89","0,56","7,75","12,35",63,0
